education,gender,agegroup,ID
BA,Weiblich,18 - 24,zA7u5do6bw
Maturität,Weiblich,18 - 24,LWYYO3u99k
BA,Weiblich,18 - 24,wZNwS8Fnq5
BA,Männlich,18 - 24,VsgJItGMBA
Maturität,Weiblich,18 - 24,eV0XOhRFAI
Maturität,Weiblich,18 - 24,SNyUWVFm6k
Maturität,Weiblich,18 - 24,NzXf7dP0Qg
Sekundarstufe I,Männlich,18 - 24,c0ykaOsiRR
Maturität,Männlich,18 - 24,xp0ougrepv
Maturität,Männlich,25 - 34,9YJ04YouIv
Maturität,Weiblich,18 - 24,9psW3mQakh
BA,Weiblich,25 - 34,niIDchG8v7
Maturität,Männlich,18 - 24,OImKbgAZSW
Sekundarstufe I,Weiblich,35 - 44,HQkOhMV4ow
Sekundarstufe I,Weiblich,45 - 54,SNyuF4MXhB
BA,Männlich,18 - 24,bKfUZX2og9
Maturität,Weiblich,18 - 24,VT4Axa8TiR
Maturität,Männlich,18 - 24,5anvYYSObw
BA,Männlich,45 - 54,Y8Vm4TlFyd
Sekundarstufe I,Weiblich,65 oder älter,hxyMQKKpz3
Sekundarstufe I,Männlich,65 oder älter,mZ7uLEMNW8
BA,Weiblich,18 - 24,6YaBs4AyV1
BA,Weiblich,18 - 24,6Gn4853qEv
Maturität,Weiblich,45 - 54,qUppDeZede
Maturität,Weiblich,25 - 34,UUkITgqa0y
BA,Weiblich,25 - 34,9qVkuRYzSd
BA,Männlich,25 - 34,ag2Sc0yAmp
Maturität,Männlich,18 - 24,7LLtJ7dHi4
Maturität,Weiblich,18 - 24,XlLtSabcfG
Maturität,Männlich,18 - 24,AotUJEBLbB
BA,Weiblich,18 - 24,dzHqUt5PHh
Maturität,Weiblich,18 - 24,pPVJUel6ko
BA,Weiblich,18 - 24,YmkB1ak36m
BA,Weiblich,25 - 34,C2CFCNedzA
Maturität,Männlich,18 - 24,fiQcKnaT8S
Maturität,Männlich,18 - 24,Aty6SrCCG2
