Order,Condition,av_SDO,av_BJW,av_SJS
Block2,Priming,3.625,3.8333333333333335,4.75
Block2,Control,5,1.8333333333333333,3.5
Block1,Control,5.1875,4.333333333333333,4.375
Block2,Control,4.125,2.1666666666666665,4.25
Block1,Control,4,4,4
Block1,Priming,4.375,4.166666666666667,3.5
Block2,Control,4.5625,2,3.875
Block1,Priming,4.8125,2.8333333333333335,4.375
Block2,Control,3.75,3.1666666666666665,3.875
Block1,Control,5,3.6666666666666665,4.625
Block1,Priming,4.5625,2.8333333333333335,4.25
Block2,Priming,4.1875,4.333333333333333,4.5
Block1,Priming,4.875,1.3333333333333333,2.375
Block2,Priming,4.5625,2.6666666666666665,3.625
Block2,Control,4.25,3.6666666666666665,4.5
Block2,Priming,4.9375,2.6666666666666665,4.25
Block2,Priming,5,4.5,4.375
Block2,Control,4.6875,4,4.375
Block1,Control,3.9375,1.5,4.125
Block2,Priming,4.8125,4,4.625
Block1,Control,4.375,2.6666666666666665,3.125
Block2,Priming,4.625,4.166666666666667,5.125
Block2,Priming,4,1.8333333333333333,2.875
Block2,Control,5.4375,1.1666666666666667,4.5
Block1,Priming,4.0625,1.1666666666666667,3.375
Block1,Priming,5.0625,3.6666666666666665,4.875
Block1,Control,4.25,2,3
Block2,Priming,4.125,1.5,2.75
Block2,Priming,3.9375,1.6666666666666665,3.375
Block2,Control,4.0625,3,4.375
Block1,Priming,4,2.3333333333333335,2.875
Block1,Control,4.625,1.8333333333333335,2.625
Block1,Control,4.25,3.6666666666666665,4.75
Block1,Priming,4.8125,3.8333333333333335,4.875
Block2,Control,4.125,3.3333333333333335,5
Block1,Priming,4.25,2.6666666666666665,4.25
Block2,Priming,4.3125,2.3333333333333335,4.25
Block1,Control,4.25,1.5,3.125
Block1,Control,4,4,4.5
Block1,Control,4.5,3.6666666666666665,3.625
Block1,Priming,5.0625,2.8333333333333335,3.625
Block2,Control,5,2,3.125
Block2,Priming,4.6875,3,5.375
Block1,Control,3.8125,2.6666666666666665,4.875
Block2,Priming,4.375,1.8333333333333333,2.875
Block1,Control,4.0625,3.3333333333333335,3.875
Block1,Priming,4.625,2.8333333333333335,4.375
Block2,Priming,4.0625,1.3333333333333333,2.75
Block2,Control,4.5,3.1666666666666665,3.875
Block1,Control,4.125,2,3.875
Block1,Priming,5.9375,2.5,4.5
Block1,Control,4.6875,2.5,4.875
Block1,Priming,4.25,3.8333333333333335,4.625
Block2,Control,3.8125,2.8333333333333335,3.625
Block1,Priming,4.5,2,2.875
Block2,Priming,5.0625,3.6666666666666665,4.375
Block1,Priming,4.125,1.8333333333333333,3.125
Block1,Priming,3.9375,1.5,2.75
Block1,Priming,5.25,3.8333333333333335,4.25
Block2,Control,4.25,2.8333333333333335,3.125
Block2,Control,3.625,1.8333333333333333,3.375
Block1,Priming,4.125,2.3333333333333335,3.875
Block2,Priming,4.1875,2,3.75
Block1,Control,5.1875,4.666666666666667,4.75
Block1,Control,3.75,3.1666666666666665,4
Block2,Priming,4.125,2.6666666666666665,3.5
Block1,Control,4.5625,3.1666666666666665,4.5
Block2,Control,5.75,3,4.375
Block2,Control,4.9375,4.166666666666667,4.625
Block1,Control,5.25,3.8333333333333335,4.75
Block1,Control,3.4375,1,2.5
Block2,Priming,4.75,3.5,3.75
Block1,Priming,4.9375,2.3333333333333335,4.125
Block2,Priming,4.6875,3.6666666666666665,4.5
Block2,Control,5.5,3,5.25
Block1,Priming,4.875,3.5,3.75
Block1,Control,4.1875,1.5,2.375
Block2,Control,3.6875,2.1666666666666665,3.25
Block1,Priming,4.625,3.6666666666666665,5.571428571428571
Block1,Priming,3.9375,3.1666666666666665,3.625
Block2,Priming,4.1875,3.5,4
Block2,Priming,4.125,4.166666666666667,4.75
Block2,Control,4.625,2.5,5.25
Block2,Control,5.625,2.6666666666666665,3.125
Block2,Control,3.875,2.6666666666666665,4
Block2,Control,3.8125,1.6666666666666667,4.25
Block1,Control,4.1875,2.8333333333333335,3.625
Block2,Control,4.125,2.1666666666666665,3.5
Block1,Priming,3.9375,2,3.125
Block2,Control,4.0625,1.1666666666666667,2.625
Block1,Control,4.8125,2.6666666666666665,4.5
Block1,Control,4.1875,5,3.75
Block2,Priming,4.9375,2.6666666666666665,3.75
Block2,Control,3.8125,2,2.875
Block2,Priming,4.75,2.6666666666666665,3
Block1,Control,4.0625,1,3.125
Block2,Control,4.0625,2.5,3.75
Block2,Priming,4.5,1.6666666666666667,3.375
Block2,Priming,4.4375,3.6666666666666665,3.75
Block1,Priming,4.9375,3.3333333333333335,3.875
Block1,Priming,4.75,1.3333333333333333,3.125
Block1,Priming,4.8125,3.8333333333333335,4.375
Block2,Priming,4.3125,2.5,4.375
Block2,Priming,3.875,2.5,4.875
Block1,Control,4,3.1666666666666665,3.5
Block2,Priming,3.9375,2.3333333333333335,4.75
Block2,Control,4.25,2.6666666666666665,3
Block2,Control,4.0625,3,4.125
Block1,Control,4.4375,3.3333333333333335,4.625
Block1,Control,3.857142857142857,2,2.875
Block1,Control,4.125,2.3333333333333335,3.375
Block2,Priming,4.5,2.5,4.25
Block1,Control,4.0625,4.166666666666667,5
Block2,Priming,5.4375,3.5,3.375
Block2,Priming,4.5625,2.5,2.625
Block1,Priming,4.625,2.5,3.5
Block1,Control,4.25,2.8333333333333335,3.5
Block2,Control,4.6875,3.3333333333333335,4.75
Block2,Control,5,4.333333333333333,4.75
Block1,Priming,5.0625,2.1666666666666665,2.875
Block2,Control,4.25,2.5,2.375
Block2,Control,3.6875,2.8333333333333335,3.625
Block2,Priming,4.625,3.5,5.5
Block1,Priming,4.875,4,4.375
Block1,Priming,4.5,3.3333333333333335,5
Block2,Priming,4.75,2.8333333333333335,3.875
Block2,Priming,4.0625,3,3.375
Block1,Priming,3.9375,2.3333333333333335,2.75
Block1,Control,4.3125,2.1666666666666665,4.25
Block1,Control,4.75,2.3333333333333335,3.875
Block1,Priming,4.4375,1.5,2.875
Block2,Priming,4.75,4.166666666666667,4.25
Block2,Control,4.8125,3.8333333333333335,4
Block1,Priming,4.25,3.8333333333333335,4.875
Block1,Priming,4.25,2.8333333333333335,3.625
Block1,Priming,4,1.5,4
Block2,Priming,4.125,3.5,3.125
Block1,Priming,4.1875,2.1666666666666665,3.375
Block2,Priming,4.6875,4,4.625
Block1,Control,4.8125,1.3333333333333333,3
Block2,Priming,3.875,1.3333333333333333,3.5
Block2,Priming,5.6875,2.5,3
Block2,Control,4.9375,2.8333333333333335,4.375
Block2,Control,4.1875,2,3.125
Block1,Control,4.1875,2.5,2.875
Block1,Priming,4.375,3,3.5
Block1,Priming,4.75,4.666666666666667,4.875
Block2,Control,5.666666666666667,4.166666666666667,NA
Block1,Control,4.9375,2,4.25
Block1,Control,3.4375,1.3333333333333333,2.5
Block2,Control,4.4375,2.1666666666666665,3.375
Block1,Control,4.8125,3.1666666666666665,4.75
Block2,Priming,4.375,2.3333333333333335,2.375
Block1,Priming,4.25,3.5,4.25
Block2,Priming,4.4375,3.6666666666666665,5
Block2,Control,4.625,4.666666666666667,4.75
Block2,Priming,4.0625,1.3333333333333333,3.75
Block2,Priming,3.75,3,3.625
Block2,Priming,4.5625,2.5,4.375
Block2,Priming,3.625,3,3.875
Block2,Priming,5.1875,2.1666666666666665,3.25
Block2,Priming,4.625,2.3333333333333335,3.375
Block2,Control,5,1.8333333333333333,3.125
Block1,Priming,4.75,2.6666666666666665,3.125
Block2,Control,5.25,4.833333333333333,5.5
Block1,Priming,4.9375,3,4.375
Block1,Priming,4.1875,3,3.125
Block1,Control,5.1875,3.1666666666666665,5.375
Block1,Priming,4.4375,1.6666666666666667,4.25
