RecordedDate,Sicherheit,Item,value,response,ID
2022-11-02T17:37:34Z,U,1,Neutral,0,zEZoFHPqmB
2022-11-02T17:37:34Z,U,2,Eher emotional,1,zEZoFHPqmB
2022-11-02T17:37:34Z,U,3,Neutral,0,zEZoFHPqmB
2022-11-02T17:37:34Z,U,4,Eher nicht emotional,-1,zEZoFHPqmB
2022-11-02T17:37:34Z,U,5,Eher emotional,1,zEZoFHPqmB
2022-11-02T17:37:34Z,U,6,Neutral,0,zEZoFHPqmB
2022-11-02T17:37:34Z,U,7,Eher emotional,1,zEZoFHPqmB
2022-11-02T17:37:34Z,U,8,Eher emotional,1,zEZoFHPqmB
2022-11-02T17:37:34Z,U,9,Neutral,0,zEZoFHPqmB
2022-11-02T17:37:34Z,U,10,Neutral,0,zEZoFHPqmB
2022-11-02T17:37:34Z,U,11,Eher nicht emotional,-1,zEZoFHPqmB
2022-11-02T17:37:34Z,U,12,Neutral,0,zEZoFHPqmB
2022-11-02T17:48:35Z,S,1,Eher emotional,1,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,2,Sehr emotional,2,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,3,Eher emotional,1,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,4,Eher emotional,1,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,5,Neutral,0,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,6,Sehr emotional,2,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,7,Eher emotional,1,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,8,Neutral,0,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,9,Neutral,0,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,10,Eher nicht emotional,-1,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,11,Sehr emotional,2,8B1Ypp2w8L
2022-11-02T17:48:35Z,S,12,Neutral,0,8B1Ypp2w8L
2022-11-02T17:50:32Z,S,1,Eher emotional,1,9WBeE99ZgG
2022-11-02T17:50:32Z,S,2,Sehr emotional,2,9WBeE99ZgG
2022-11-02T17:50:32Z,S,3,Neutral,0,9WBeE99ZgG
2022-11-02T17:50:32Z,S,4,Eher nicht emotional,-1,9WBeE99ZgG
2022-11-02T17:50:32Z,S,5,Eher emotional,1,9WBeE99ZgG
2022-11-02T17:50:32Z,S,6,Eher emotional,1,9WBeE99ZgG
2022-11-02T17:50:32Z,S,7,Eher emotional,1,9WBeE99ZgG
2022-11-02T17:50:32Z,S,8,Neutral,0,9WBeE99ZgG
