RecordedDate,Experiment,Frage,Rep_Zu,Sicherheit,value,ID
2022-11-02T17:29:41Z,E2,F6,R,S,100,rywW6CqAFI
2022-11-02T17:29:41Z,E2,F7,R,S,50,rywW6CqAFI
2022-11-02T17:29:41Z,E2,F11,Z,S,75,rywW6CqAFI
2022-11-02T17:29:41Z,E2,F12,Z,S,100,rywW6CqAFI
2022-11-02T17:29:41Z,E3,F15,R,S,1000,rywW6CqAFI
2022-11-02T17:29:41Z,E3,F16,R,S,5,rywW6CqAFI
2022-11-02T17:29:41Z,E3,F19,Z,S,10000,rywW6CqAFI
2022-11-02T17:29:41Z,E3,F20,Z,S,99,rywW6CqAFI
2022-11-02T17:36:34Z,E2,F8,R,U,20,BamNxhKn9H
2022-11-02T17:36:34Z,E2,F9,R,U,2,BamNxhKn9H
2022-11-02T17:36:34Z,E2,F13,Z,U,2,BamNxhKn9H
2022-11-02T17:36:34Z,E2,F14,Z,U,2,BamNxhKn9H
2022-11-02T17:36:34Z,E3,F17,R,U,10,BamNxhKn9H
2022-11-02T17:36:34Z,E3,F18,R,U,0,BamNxhKn9H
2022-11-02T17:36:34Z,E3,F21,Z,U,100,BamNxhKn9H
2022-11-02T17:36:34Z,E3,F22,Z,U,0,BamNxhKn9H
2022-11-02T17:37:34Z,E2,F8,R,U,5,zEZoFHPqmB
2022-11-02T17:37:34Z,E2,F9,R,U,5,zEZoFHPqmB
2022-11-02T17:37:34Z,E2,F13,Z,U,5,zEZoFHPqmB
2022-11-02T17:37:34Z,E2,F14,Z,U,10,zEZoFHPqmB
2022-11-02T17:37:34Z,E3,F17,R,U,20,zEZoFHPqmB
2022-11-02T17:37:34Z,E3,F18,R,U,5,zEZoFHPqmB
2022-11-02T17:37:34Z,E3,F21,Z,U,200,zEZoFHPqmB
2022-11-02T17:37:34Z,E3,F22,Z,U,50,zEZoFHPqmB
2022-11-02T17:48:35Z,E2,F6,R,S,10,8B1Ypp2w8L
2022-11-02T17:48:35Z,E2,F7,R,S,10,8B1Ypp2w8L
2022-11-02T17:48:35Z,E2,F11,Z,S,10,8B1Ypp2w8L
2022-11-02T17:48:35Z,E2,F12,Z,S,10,8B1Ypp2w8L
2022-11-02T17:48:35Z,E3,F15,R,S,0,8B1Ypp2w8L
2022-11-02T17:48:35Z,E3,F16,R,S,0,8B1Ypp2w8L
2022-11-02T17:48:35Z,E3,F19,Z,S,0,8B1Ypp2w8L
2022-11-02T17:48:35Z,E3,F20,Z,S,10,8B1Ypp2w8L
2022-11-02T17:50:32Z,E2,F6,R,S,30,9WBeE99ZgG
2022-11-02T17:50:32Z,E2,F7,R,S,50,9WBeE99ZgG
2022-11-02T17:50:32Z,E2,F11,Z,S,20,9WBeE99ZgG
2022-11-02T17:50:32Z,E2,F12,Z,S,20,9WBeE99ZgG
2022-11-02T17:50:32Z,E3,F15,R,S,30,9WBeE99ZgG
2022-11-02T17:50:32Z,E3,F16,R,S,20,9WBeE99ZgG
2022-11-02T17:50:32Z,E3,F19,Z,S,50,9WBeE99ZgG
2022-11-02T17:50:32Z,E3,F20,Z,S,50,9WBeE99ZgG
2022-11-02T17:51:35Z,E2,F8,R,U,50,HdU5zA6oCK
2022-11-02T17:51:35Z,E2,F9,R,U,50,HdU5zA6oCK
2022-11-02T17:51:35Z,E2,F13,Z,U,100,HdU5zA6oCK
2022-11-02T17:51:35Z,E2,F14,Z,U,50,HdU5zA6oCK
2022-11-02T17:51:35Z,E3,F17,R,U,50,HdU5zA6oCK
2022-11-02T17:51:35Z,E3,F18,R,U,50,HdU5zA6oCK
2022-11-02T17:51:35Z,E3,F21,Z,U,200,HdU5zA6oCK
2022-11-02T17:51:35Z,E3,F22,Z,U,150,HdU5zA6oCK
2022-11-02T17:51:48Z,E2,F8,R,U,10,WMj3Yte6cT
2022-11-02T17:51:48Z,E2,F9,R,U,20,WMj3Yte6cT
2022-11-02T17:51:48Z,E2,F13,Z,U,5,WMj3Yte6cT
