task,condition,test,number_id,value,id,target,set,label,range_min,range_max,Unique_ID,ID
Gotthardtunnel,Precise,Question,1,16950,2,16942,2,16942,15247.8,18636.2,2 1 Precise,IraBmyNk6l
Gotthardtunnel,Precise,Question,2,2200,2,2257,2,2257,2031.3,2482.7,2 2 Precise,IraBmyNk6l
Umsatzlöhne,Precise,Question,1,16000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,IraBmyNk6l
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,IraBmyNk6l
Arztpraxen,Precise,Question,1,22000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,IraBmyNk6l
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,IraBmyNk6l
Gotthardtunnel,Precise,Test,1,10,2,13.3,2,13.3,11.97,14.63,2 1 Precise,IraBmyNk6l
Umsatzlöhne,Precise,Test,1,22,6,22.7,2,22.7,20.43,24.97,6 1 Precise,IraBmyNk6l
Arztpraxen,Precise,Test,1,85,1,74.7,2,74.7,67.23,82.17,1 1 Precise,IraBmyNk6l
Geographie,Precise,Question,1,41280,5,41285,1,41285,37156.5,45413.5,5 1 Precise,ZLKUQARBa9
Geographie,Precise,Question,2,7140,5,7105,1,7105,6394.5,7815.5,5 2 Precise,ZLKUQARBa9
Arbeitslosigkeit,Precise,Question,1,33800,3,89881,1,89881,80892.9,98869.1,3 1 Precise,ZLKUQARBa9
Arbeitslosigkeit,Precise,Question,2,7180,3,2280,1,2280,2052,2508,3 2 Precise,ZLKUQARBa9
Urteile,Precise,Question,1,30000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,ZLKUQARBa9
Urteile,Precise,Question,2,30000,4,1945,1,1945,1750.5,2139.5,4 2 Precise,ZLKUQARBa9
Geographie,Precise,Test,1,8,5,17.2,1,17.2,15.48,18.92,5 1 Precise,ZLKUQARBa9
Arbeitslosigkeit,Precise,Test,1,3,3,2.5,1,2.5,2.25,2.75,3 1 Precise,ZLKUQARBa9
Urteile,Precise,Test,1,10,4,1.9,1,1.9,1.71,2.09,4 1 Precise,ZLKUQARBa9
Geographie,Round,Question,1,90000,5,40000,1,41285,37156.5,45413.5,5 1 Round,n0lniyTf2o
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,n0lniyTf2o
Arbeitslosigkeit,Round,Question,1,90000,3,90000,1,89881,80892.9,98869.1,3 1 Round,n0lniyTf2o
Arbeitslosigkeit,Round,Question,2,1200,3,2500,1,2280,2052,2508,3 2 Round,n0lniyTf2o
Urteile,Round,Question,1,300000,4,100000,1,103156,92840.4,113471.6,4 1 Round,n0lniyTf2o
Urteile,Round,Question,2,3000,4,2000,1,1945,1750.5,2139.5,4 2 Round,n0lniyTf2o
Geographie,Round,Test,1,9,5,17.5,1,17.2,15.48,18.92,5 1 Round,n0lniyTf2o
Arbeitslosigkeit,Round,Test,1,5,3,2.8,1,2.5,2.25,2.75,3 1 Round,n0lniyTf2o
Urteile,Round,Test,1,10,4,2,1,1.9,1.71,2.09,4 1 Round,n0lniyTf2o
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,8fAlXm4Rnt
Gotthardtunnel,Round,Question,2,2300,2,2300,2,2257,2031.3,2482.7,2 2 Round,8fAlXm4Rnt
Umsatzlöhne,Round,Question,1,4000,6,17000,2,16553,14897.7,18208.3,6 1 Round,8fAlXm4Rnt
Umsatzlöhne,Round,Question,2,2000,6,4000,2,3750,3375,4125,6 2 Round,8fAlXm4Rnt
Arztpraxen,Round,Question,1,20000,1,25000,2,25439,22895.1,27982.9,1 1 Round,8fAlXm4Rnt
Arztpraxen,Round,Question,2,17000,1,19000,2,19004,17103.6,20904.4,1 2 Round,8fAlXm4Rnt
Gotthardtunnel,Round,Test,1,15,2,13.5,2,13.3,11.97,14.63,2 1 Round,8fAlXm4Rnt
Umsatzlöhne,Round,Test,1,20,6,23.5,2,22.7,20.43,24.97,6 1 Round,8fAlXm4Rnt
Arztpraxen,Round,Test,1,80,1,76,2,74.7,67.23,82.17,1 1 Round,8fAlXm4Rnt
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,IGYRjdpMQG
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,IGYRjdpMQG
Arbeitslosigkeit,Round,Question,1,90000,3,90000,1,89881,80892.9,98869.1,3 1 Round,IGYRjdpMQG
Arbeitslosigkeit,Round,Question,2,2500,3,2500,1,2280,2052,2508,3 2 Round,IGYRjdpMQG
Urteile,Round,Question,1,100000,4,100000,1,103156,92840.4,113471.6,4 1 Round,IGYRjdpMQG
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,IGYRjdpMQG
Geographie,Round,Test,1,17,5,17.5,1,17.2,15.48,18.92,5 1 Round,IGYRjdpMQG
Arbeitslosigkeit,Round,Test,1,2,3,2.8,1,2.5,2.25,2.75,3 1 Round,IGYRjdpMQG
Urteile,Round,Test,1,2,4,2,1,1.9,1.71,2.09,4 1 Round,IGYRjdpMQG
Geographie,Precise,Question,1,41000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,fYjwhrB4m4
Geographie,Precise,Question,2,7050,5,7105,1,7105,6394.5,7815.5,5 2 Precise,fYjwhrB4m4
Arbeitslosigkeit,Precise,Question,1,89000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,fYjwhrB4m4
Arbeitslosigkeit,Precise,Question,2,43,3,2280,1,2280,2052,2508,3 2 Precise,fYjwhrB4m4
Urteile,Precise,Question,1,4600,4,103156,1,103156,92840.4,113471.6,4 1 Precise,fYjwhrB4m4
Urteile,Precise,Question,2,1450,4,1945,1,1945,1750.5,2139.5,4 2 Precise,fYjwhrB4m4
Geographie,Precise,Test,1,15,5,17.2,1,17.2,15.48,18.92,5 1 Precise,fYjwhrB4m4
Arbeitslosigkeit,Precise,Test,1,4,3,2.5,1,2.5,2.25,2.75,3 1 Precise,fYjwhrB4m4
Urteile,Precise,Test,1,16,4,1.9,1,1.9,1.71,2.09,4 1 Precise,fYjwhrB4m4
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,8xKFSL9bih
Gotthardtunnel,Round,Question,2,2300,2,2300,2,2257,2031.3,2482.7,2 2 Round,8xKFSL9bih
