ID,study,position,price,level,order,answers
QXkclcGdoR,1a,oben,L,L1,3,5000
QXkclcGdoR,1a,oben,L,L2,3,50
QXkclcGdoR,1a,oben,L,L3,3,35
QXkclcGdoR,1a,oben,L,L4,3,60000
QXkclcGdoR,1a,oben,L,L5,3,270
QXkclcGdoR,1b,unten,A,A1,2,7
QXkclcGdoR,1b,unten,A,A2,2,6
QXkclcGdoR,1b,unten,A,A3,2,2
QXkclcGdoR,1b,unten,A,A4,2,4
QXkclcGdoR,1b,unten,A,A5,2,4
QXkclcGdoR,2,oben,L,L1,1,7
QXkclcGdoR,2,oben,L,L2,1,2
QXkclcGdoR,2,oben,L,L3,1,2
QXkclcGdoR,2,oben,L,L4,1,3
QXkclcGdoR,2,oben,L,L5,1,4
j2zRmuLwo9,1a,oben,A,A1,3,5.9
j2zRmuLwo9,1a,oben,A,A2,3,9.9
j2zRmuLwo9,1a,oben,A,A3,3,3.4499999999999997
j2zRmuLwo9,1a,oben,A,A4,3,21.95
j2zRmuLwo9,1a,oben,A,A5,3,39.949999999999996
j2zRmuLwo9,1b,unten,L,L1,1,9
j2zRmuLwo9,1b,unten,L,L2,1,4
j2zRmuLwo9,1b,unten,L,L3,1,6
j2zRmuLwo9,1b,unten,L,L4,1,9
j2zRmuLwo9,1b,unten,L,L5,1,9
j2zRmuLwo9,2,oben,A,A1,2,6
j2zRmuLwo9,2,oben,A,A2,2,1
j2zRmuLwo9,2,oben,A,A3,2,3
j2zRmuLwo9,2,oben,A,A4,2,1
j2zRmuLwo9,2,oben,A,A5,2,7
SGjPmtCman,1a,unten,A,A1,3,3.9499999999999997
SGjPmtCman,1a,unten,A,A2,3,2.9499999999999997
SGjPmtCman,1a,unten,A,A3,3,1.5
SGjPmtCman,1a,unten,A,A4,3,6.5
SGjPmtCman,1a,unten,A,A5,3,20
SGjPmtCman,1b,unten,A,A1,2,8
SGjPmtCman,1b,unten,A,A2,2,7
SGjPmtCman,1b,unten,A,A3,2,6
SGjPmtCman,1b,unten,A,A4,2,6
SGjPmtCman,2,oben,L,L1,1,2
SGjPmtCman,2,oben,L,L2,1,1
SGjPmtCman,2,oben,L,L3,1,1
SGjPmtCman,2,oben,L,L4,1,1
SGjPmtCman,2,oben,L,L5,1,1
T6wXjrfJlI,1a,unten,L,L1,1,280
T6wXjrfJlI,1a,unten,L,L2,1,5.9
T6wXjrfJlI,1a,unten,L,L3,1,20
T6wXjrfJlI,1a,unten,L,L4,1,60000
T6wXjrfJlI,1a,unten,L,L5,1,50
T6wXjrfJlI,1b,oben,A,A1,3,6
