ID,pic_couch,S,Color,Sat,guess_height
0121e,couch_violet_50.jpg,S4,CV,50,108
01d7f,couch_red_100.jpg,S4,CR,100,80
02871,couch_violet_50.jpg,S4,CV,50,350
04650,couch_violet_50.jpg,S4,CV,50,80
04b1b,couch_violet_100.jpg,S4,CV,100,87
055eb,couch_violet_100.jpg,S4,CV,100,80
070d7,couch_violet_100.jpg,S4,CV,100,100
08169,couch_green_100.jpg,S4,CG,100,75
082ef,couch_green_100.jpg,S4,CG,100,104
0b80b,couch_red_100.jpg,S4,CR,100,65
0c71d,couch_red_100.jpg,S4,CR,100,70
0d7c0,couch_violet_50.jpg,S4,CV,50,84
10c8f,couch_green_50.jpg,S4,CG,50,71
11755,couch_green_100.jpg,S4,CG,100,80
127e8,couch_red_50.jpg,S4,CR,50,60
12edd,couch_violet_100.jpg,S4,CV,100,70
130b3,couch_violet_100.jpg,S4,CV,100,60
13544,couch_green_100.jpg,S4,CG,100,62
13552,couch_violet_50.jpg,S4,CV,50,60
13cb9,couch_red_50.jpg,S4,CR,50,60
15c8d,couch_violet_50.jpg,S4,CV,50,85
18f02,couch_violet_50.jpg,S4,CV,50,40
19698,couch_green_50.jpg,S4,CG,50,75
1a1c6,couch_violet_100.jpg,S4,CV,100,75
1a49d,couch_red_50.jpg,S4,CR,50,111
1a7f2,couch_red_50.jpg,S4,CR,50,64
1b1ac,couch_red_100.jpg,S4,CR,100,90
1bf74,couch_green_100.jpg,S4,CG,100,110
1c1f9,couch_red_50.jpg,S4,CR,50,45
1c39b,couch_red_100.jpg,S4,CR,100,80
1cbd1,couch_violet_50.jpg,S4,CV,50,80
1d2bc,couch_violet_100.jpg,S4,CV,100,96
1e7a8,couch_red_100.jpg,S4,CR,100,108
1fa63,couch_green_50.jpg,S4,CG,50,75
21565,couch_red_100.jpg,S4,CR,100,60
21b67,couch_red_100.jpg,S4,CR,100,90
22047,couch_red_50.jpg,S4,CR,50,65
228c6,couch_violet_50.jpg,S4,CV,50,72
2291f,couch_red_100.jpg,S4,CR,100,80
22c5f,couch_red_50.jpg,S4,CR,50,72
231e0,couch_red_50.jpg,S4,CR,50,80
232aa,couch_red_100.jpg,S4,CR,100,90
234ff,couch_violet_100.jpg,S4,CV,100,84
23c8a,couch_red_100.jpg,S4,CR,100,60
25b74,couch_violet_50.jpg,S4,CV,50,80
262f2,couch_red_100.jpg,S4,CR,100,60
267a9,couch_green_100.jpg,S4,CG,100,100
27384,couch_red_50.jpg,S4,CR,50,80
2757c,couch_violet_50.jpg,S4,CV,50,60
277d2,couch_green_100.jpg,S4,CG,100,90
2a3e7,couch_green_100.jpg,S4,CG,100,80
2c594,couch_green_50.jpg,S4,CG,50,70
2cab4,couch_green_50.jpg,S4,CG,50,66
2d01c,couch_violet_100.jpg,S4,CV,100,108
2d689,couch_violet_100.jpg,S4,CV,100,90
2d867,couch_green_50.jpg,S4,CG,50,120
30bbf,couch_red_50.jpg,S4,CR,50,96
31459,couch_red_100.jpg,S4,CR,100,80
318e8,couch_red_100.jpg,S4,CR,100,15
3195d,couch_violet_50.jpg,S4,CV,50,50
31d0c,couch_violet_100.jpg,S4,CV,100,75
3211d,couch_violet_50.jpg,S4,CV,50,15
34a74,couch_green_100.jpg,S4,CG,100,90
357ad,couch_red_50.jpg,S4,CR,50,100
35e84,couch_violet_50.jpg,S4,CV,50,90
37332,couch_violet_50.jpg,S4,CV,50,115
38da9,couch_red_50.jpg,S4,CR,50,85
3956a,couch_green_50.jpg,S4,CG,50,75
395ab,couch_red_50.jpg,S4,CR,50,85
3a94c,couch_green_100.jpg,S4,CG,100,45
3d486,couch_red_50.jpg,S4,CR,50,60
3eb57,couch_green_100.jpg,S4,CG,100,160
3ece3,couch_red_50.jpg,S4,CR,50,80
3edeb,couch_red_50.jpg,S4,CR,50,8
3f2e9,couch_green_100.jpg,S4,CG,100,70
41891,couch_green_100.jpg,S4,CG,100,130
41f87,couch_green_50.jpg,S4,CG,50,60
42143,couch_green_50.jpg,S4,CG,50,110
42b72,couch_violet_100.jpg,S4,CV,100,80
43050,couch_red_100.jpg,S4,CR,100,80
4316f,couch_violet_50.jpg,S4,CV,50,60
44217,couch_red_50.jpg,S4,CR,50,100
455c4,couch_violet_100.jpg,S4,CV,100,60
46956,couch_green_100.jpg,S4,CG,100,76
46e12,couch_violet_100.jpg,S4,CV,100,9
47a0b,couch_violet_100.jpg,S4,CV,100,80
47cc0,couch_violet_100.jpg,S4,CV,100,80
47d58,couch_violet_100.jpg,S4,CV,100,90
47e02,couch_violet_100.jpg,S4,CV,100,75
49de0,couch_green_100.jpg,S4,CG,100,130
4a149,couch_violet_100.jpg,S4,CV,100,100
4ad5f,couch_violet_100.jpg,S4,CV,100,80
4b5d2,couch_violet_100.jpg,S4,CV,100,80
4cc88,couch_red_100.jpg,S4,CR,100,60
4d130,couch_violet_100.jpg,S4,CV,100,90
4df5d,couch_violet_50.jpg,S4,CV,50,84
4eb73,couch_green_100.jpg,S4,CG,100,80
4edd0,couch_green_50.jpg,S4,CG,50,80
509c8,couch_red_50.jpg,S4,CR,50,60
52266,couch_green_50.jpg,S4,CG,50,201
524bc,couch_green_50.jpg,S4,CG,50,72
53991,couch_green_50.jpg,S4,CG,50,65
55069,couch_violet_50.jpg,S4,CV,50,80
567a9,couch_red_100.jpg,S4,CR,100,96
57506,couch_violet_100.jpg,S4,CV,100,80
57962,couch_violet_100.jpg,S4,CV,100,60
584da,couch_red_50.jpg,S4,CR,50,72
59ff9,couch_violet_100.jpg,S4,CV,100,90
5d3eb,couch_green_100.jpg,S4,CG,100,80
61083,couch_green_50.jpg,S4,CG,50,70
64896,couch_red_50.jpg,S4,CR,50,85
64b9c,couch_violet_50.jpg,S4,CV,50,75
64e03,couch_green_100.jpg,S4,CG,100,96
65204,couch_violet_100.jpg,S4,CV,100,85
65428,couch_violet_50.jpg,S4,CV,50,40
6698c,couch_green_100.jpg,S4,CG,100,80
670b8,couch_violet_100.jpg,S4,CV,100,85
67d8b,couch_green_100.jpg,S4,CG,100,38
6ae26,couch_red_50.jpg,S4,CR,50,80
6b1af,couch_red_100.jpg,S4,CR,100,40
6bcfd,couch_green_50.jpg,S4,CG,50,110
6d4b0,couch_violet_100.jpg,S4,CV,100,80
7048b,couch_green_50.jpg,S4,CG,50,70
70f61,couch_red_50.jpg,S4,CR,50,80
72101,couch_red_100.jpg,S4,CR,100,75
72f03,couch_violet_50.jpg,S4,CV,50,80
73db6,couch_red_50.jpg,S4,CR,50,80
7426e,couch_red_100.jpg,S4,CR,100,84
75832,couch_violet_50.jpg,S4,CV,50,55
75f34,couch_green_50.jpg,S4,CG,50,80
76875,couch_violet_100.jpg,S4,CV,100,80
76a38,couch_violet_50.jpg,S4,CV,50,96
776fa,couch_violet_50.jpg,S4,CV,50,70
77983,couch_red_100.jpg,S4,CR,100,98
78428,couch_violet_50.jpg,S4,CV,50,30
7951e,couch_green_50.jpg,S4,CG,50,80
7953f,couch_violet_50.jpg,S4,CV,50,59
7cf73,couch_red_100.jpg,S4,CR,100,120
7ea08,couch_red_100.jpg,S4,CR,100,60
82671,couch_red_100.jpg,S4,CR,100,70
83ebf,couch_red_100.jpg,S4,CR,100,65
83f57,couch_violet_50.jpg,S4,CV,50,80
847f5,couch_green_50.jpg,S4,CG,50,50
8a051,couch_red_50.jpg,S4,CR,50,220
8b68e,couch_red_50.jpg,S4,CR,50,40
8c62c,couch_violet_100.jpg,S4,CV,100,60
8c9f7,couch_violet_100.jpg,S4,CV,100,65
8cc2a,couch_red_100.jpg,S4,CR,100,14
8e78b,couch_green_100.jpg,S4,CG,100,84
8f879,couch_violet_100.jpg,S4,CV,100,60
90c1b,couch_violet_100.jpg,S4,CV,100,82
916d3,couch_red_100.jpg,S4,CR,100,96
929c0,couch_violet_100.jpg,S4,CV,100,72
93455,couch_red_100.jpg,S4,CR,100,84
944ef,couch_green_50.jpg,S4,CG,50,60
94c94,couch_violet_100.jpg,S4,CV,100,80
94dfe,couch_violet_50.jpg,S4,CV,50,75
95dc2,couch_green_50.jpg,S4,CG,50,100
977ef,couch_violet_100.jpg,S4,CV,100,85
97e2f,couch_green_100.jpg,S4,CG,100,55
9901a,couch_green_100.jpg,S4,CG,100,70
9a82f,couch_violet_50.jpg,S4,CV,50,100
9d0de,couch_red_50.jpg,S4,CR,50,200
9d172,couch_red_100.jpg,S4,CR,100,70
9e53f,couch_green_100.jpg,S4,CG,100,85
9eea5,couch_violet_50.jpg,S4,CV,50,85
