ID,pic_laptop,S,Color,Sat,guess_size,laptop_selection_1,laptop_selection_2,pref_size,mood_raw,arrousal,mood,laptop_attention_mean
0121e,Laptop_red_50.jpg,S2,LR,50,15,NA,NA,NA,NA,NA,NA,NA
0121e,Laptop_red_50.jpg,S2,LR,50,NA,5,5,17,NA,NA,NA,5
0121e,Laptop_red_50.jpg,S2,LR,50,NA,NA,NA,NA,G7,3,7,NA
0121e,Laptop_red_50.jpg,S2,LR,50,NA,NA,NA,NA,NA,NA,NA,NA
01d7f,Laptop_red_50.jpg,S2,LR,50,10,NA,NA,NA,NA,NA,NA,NA
01d7f,Laptop_red_50.jpg,S2,LR,50,NA,6,6,15,NA,NA,NA,6
01d7f,Laptop_red_50.jpg,S2,LR,50,NA,NA,NA,NA,B7,8,7,NA
01d7f,Laptop_red_50.jpg,S2,LR,50,NA,NA,NA,NA,NA,NA,NA,NA
02871,Laptop_green_100.jpg,S2,LG,100,13,NA,NA,NA,NA,NA,NA,NA
02871,Laptop_green_100.jpg,S2,LG,100,NA,3,2,17,NA,NA,NA,2.5
02871,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,D8,6,8,NA
02871,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,NA,NA,NA,NA
04650,Laptop_red_50.jpg,S2,LR,50,14,NA,NA,NA,NA,NA,NA,NA
04650,Laptop_red_50.jpg,S2,LR,50,NA,1,1,17,NA,NA,NA,1
04650,Laptop_red_50.jpg,S2,LR,50,NA,NA,NA,NA,G6,3,6,NA
04650,Laptop_red_50.jpg,S2,LR,50,NA,NA,NA,NA,NA,NA,NA,NA
04b1b,Laptop_red_100.jpg,S2,LR,100,12,NA,NA,NA,NA,NA,NA,NA
04b1b,Laptop_red_100.jpg,S2,LR,100,NA,3,4,17,NA,NA,NA,3.5
04b1b,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,C7,7,7,NA
04b1b,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,NA,NA,NA,NA
055eb,Laptop_green_50.jpg,S2,LG,50,12,NA,NA,NA,NA,NA,NA,NA
055eb,Laptop_green_50.jpg,S2,LG,50,NA,4,4,14,NA,NA,NA,4
055eb,Laptop_green_50.jpg,S2,LG,50,NA,NA,NA,NA,E3,5,3,NA
055eb,Laptop_green_50.jpg,S2,LG,50,NA,NA,NA,NA,NA,NA,NA,NA
070d7,Laptop_green_100.jpg,S2,LG,100,15,NA,NA,NA,NA,NA,NA,NA
070d7,Laptop_green_100.jpg,S2,LG,100,NA,1,1,17,NA,NA,NA,1
070d7,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,E5,5,5,NA
070d7,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,NA,NA,NA,NA
08169,Laptop_red_100.jpg,S2,LR,100,13,NA,NA,NA,NA,NA,NA,NA
08169,Laptop_red_100.jpg,S2,LR,100,NA,7,7,13,NA,NA,NA,7
08169,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,H8,2,8,NA
08169,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,NA,NA,NA,NA
082ef,Laptop_blue_50.jpg,S2,LB,50,15,NA,NA,NA,NA,NA,NA,NA
082ef,Laptop_blue_50.jpg,S2,LB,50,NA,5,6,15,NA,NA,NA,5.5
082ef,Laptop_blue_50.jpg,S2,LB,50,NA,NA,NA,NA,D7,6,7,NA
082ef,Laptop_blue_50.jpg,S2,LB,50,NA,NA,NA,NA,NA,NA,NA,NA
0b80b,Laptop_blue_100.jpg,S2,LB,100,13,NA,NA,NA,NA,NA,NA,NA
0b80b,Laptop_blue_100.jpg,S2,LB,100,NA,5,6,17,NA,NA,NA,5.5
0b80b,Laptop_blue_100.jpg,S2,LB,100,NA,NA,NA,NA,F8,4,8,NA
0b80b,Laptop_blue_100.jpg,S2,LB,100,NA,NA,NA,NA,NA,NA,NA,NA
0c71d,Laptop_green_100.jpg,S2,LG,100,14,NA,NA,NA,NA,NA,NA,NA
0c71d,Laptop_green_100.jpg,S2,LG,100,NA,1,1,19,NA,NA,NA,1
0c71d,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,H2,2,2,NA
0c71d,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,NA,NA,NA,NA
0d7c0,Laptop_green_50.jpg,S2,LG,50,16,NA,NA,NA,NA,NA,NA,NA
0d7c0,Laptop_green_50.jpg,S2,LG,50,NA,7,7,17,NA,NA,NA,7
0d7c0,Laptop_green_50.jpg,S2,LG,50,NA,NA,NA,NA,G6,3,6,NA
0d7c0,Laptop_green_50.jpg,S2,LG,50,NA,NA,NA,NA,NA,NA,NA,NA
10c8f,Laptop_green_100.jpg,S2,LG,100,16,NA,NA,NA,NA,NA,NA,NA
10c8f,Laptop_green_100.jpg,S2,LG,100,NA,5,6,15,NA,NA,NA,5.5
10c8f,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,D3,6,3,NA
10c8f,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,NA,NA,NA,NA
11755,Laptop_blue_50.jpg,S2,LB,50,13,NA,NA,NA,NA,NA,NA,NA
11755,Laptop_blue_50.jpg,S2,LB,50,NA,5,6,15,NA,NA,NA,5.5
11755,Laptop_blue_50.jpg,S2,LB,50,NA,NA,NA,NA,F7,4,7,NA
11755,Laptop_blue_50.jpg,S2,LB,50,NA,NA,NA,NA,NA,NA,NA,NA
127e8,Laptop_red_100.jpg,S2,LR,100,14,NA,NA,NA,NA,NA,NA,NA
127e8,Laptop_red_100.jpg,S2,LR,100,NA,3,2,20,NA,NA,NA,2.5
127e8,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,E7,5,7,NA
127e8,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,NA,NA,NA,NA
12edd,Laptop_green_100.jpg,S2,LG,100,15,NA,NA,NA,NA,NA,NA,NA
12edd,Laptop_green_100.jpg,S2,LG,100,NA,7,6,13,NA,NA,NA,6.5
12edd,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,D6,6,6,NA
12edd,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,NA,NA,NA,NA
130b3,Laptop_red_100.jpg,S2,LR,100,15,NA,NA,NA,NA,NA,NA,NA
130b3,Laptop_red_100.jpg,S2,LR,100,NA,7,7,17,NA,NA,NA,7
130b3,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,G7,3,7,NA
130b3,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,NA,NA,NA,NA
13544,Laptop_red_100.jpg,S2,LR,100,16,NA,NA,NA,NA,NA,NA,NA
13544,Laptop_red_100.jpg,S2,LR,100,NA,7,6,14,NA,NA,NA,6.5
13544,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,D6,6,6,NA
13544,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,NA,NA,NA,NA
13552,Laptop_green_50.jpg,S2,LG,50,12,NA,NA,NA,NA,NA,NA,NA
13552,Laptop_green_50.jpg,S2,LG,50,NA,4,4,15,NA,NA,NA,4
13552,Laptop_green_50.jpg,S2,LG,50,NA,NA,NA,NA,F7,4,7,NA
13552,Laptop_green_50.jpg,S2,LG,50,NA,NA,NA,NA,NA,NA,NA,NA
13cb9,Laptop_red_100.jpg,S2,LR,100,12,NA,NA,NA,NA,NA,NA,NA
13cb9,Laptop_red_100.jpg,S2,LR,100,NA,5,6,15,NA,NA,NA,5.5
13cb9,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,E7,5,7,NA
13cb9,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,NA,NA,NA,NA
15c8d,Laptop_blue_50.jpg,S2,LB,50,17,NA,NA,NA,NA,NA,NA,NA
15c8d,Laptop_blue_50.jpg,S2,LB,50,NA,1,4,27,NA,NA,NA,2.5
15c8d,Laptop_blue_50.jpg,S2,LB,50,NA,NA,NA,NA,I9,1,9,NA
15c8d,Laptop_blue_50.jpg,S2,LB,50,NA,NA,NA,NA,NA,NA,NA,NA
18f02,Laptop_red_50.jpg,S2,LR,50,15,NA,NA,NA,NA,NA,NA,NA
18f02,Laptop_red_50.jpg,S2,LR,50,NA,5,5,17,NA,NA,NA,5
18f02,Laptop_red_50.jpg,S2,LR,50,NA,NA,NA,NA,H8,2,8,NA
18f02,Laptop_red_50.jpg,S2,LR,50,NA,NA,NA,NA,NA,NA,NA,NA
19698,Laptop_blue_100.jpg,S2,LB,100,14,NA,NA,NA,NA,NA,NA,NA
19698,Laptop_blue_100.jpg,S2,LB,100,NA,6,6,15,NA,NA,NA,6
19698,Laptop_blue_100.jpg,S2,LB,100,NA,NA,NA,NA,H7,2,7,NA
19698,Laptop_blue_100.jpg,S2,LB,100,NA,NA,NA,NA,NA,NA,NA,NA
1a1c6,Laptop_green_100.jpg,S2,LG,100,12,NA,NA,NA,NA,NA,NA,NA
1a1c6,Laptop_green_100.jpg,S2,LG,100,NA,5,6,13,NA,NA,NA,5.5
1a1c6,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,H7,2,7,NA
1a1c6,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,NA,NA,NA,NA
1a49d,Laptop_red_100.jpg,S2,LR,100,14,NA,NA,NA,NA,NA,NA,NA
1a49d,Laptop_red_100.jpg,S2,LR,100,NA,5,5,17,NA,NA,NA,5
1a49d,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,H5,2,5,NA
1a49d,Laptop_red_100.jpg,S2,LR,100,NA,NA,NA,NA,NA,NA,NA,NA
1a7f2,Laptop_blue_100.jpg,S2,LB,100,15,NA,NA,NA,NA,NA,NA,NA
1a7f2,Laptop_blue_100.jpg,S2,LB,100,NA,6,6,17,NA,NA,NA,6
1a7f2,Laptop_blue_100.jpg,S2,LB,100,NA,NA,NA,NA,D5,6,5,NA
1a7f2,Laptop_blue_100.jpg,S2,LB,100,NA,NA,NA,NA,NA,NA,NA,NA
1b1ac,Laptop_green_100.jpg,S2,LG,100,13,NA,NA,NA,NA,NA,NA,NA
1b1ac,Laptop_green_100.jpg,S2,LG,100,NA,6,6,16,NA,NA,NA,6
1b1ac,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,B4,8,4,NA
1b1ac,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,NA,NA,NA,NA
1bf74,Laptop_green_100.jpg,S2,LG,100,15,NA,NA,NA,NA,NA,NA,NA
1bf74,Laptop_green_100.jpg,S2,LG,100,NA,4,5,14,NA,NA,NA,4.5
1bf74,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,F8,4,8,NA
1bf74,Laptop_green_100.jpg,S2,LG,100,NA,NA,NA,NA,NA,NA,NA,NA
1c1f9,Laptop_red_50.jpg,S2,LR,50,11,NA,NA,NA,NA,NA,NA,NA
1c1f9,Laptop_red_50.jpg,S2,LR,50,NA,4,4,17,NA,NA,NA,4
1c1f9,Laptop_red_50.jpg,S2,LR,50,NA,NA,NA,NA,E5,5,5,NA
1c1f9,Laptop_red_50.jpg,S2,LR,50,NA,NA,NA,NA,NA,NA,NA,NA
1c39b,Laptop_green_50.jpg,S2,LG,50,15,NA,NA,NA,NA,NA,NA,NA
1c39b,Laptop_green_50.jpg,S2,LG,50,NA,7,7,17,NA,NA,NA,7
1c39b,Laptop_green_50.jpg,S2,LG,50,NA,NA,NA,NA,F6,4,6,NA
1c39b,Laptop_green_50.jpg,S2,LG,50,NA,NA,NA,NA,NA,NA,NA,NA
1cbd1,Laptop_green_50.jpg,S2,LG,50,15,NA,NA,NA,NA,NA,NA,NA
1cbd1,Laptop_green_50.jpg,S2,LG,50,NA,3,2,15,NA,NA,NA,2.5
1cbd1,Laptop_green_50.jpg,S2,LG,50,NA,NA,NA,NA,G4,3,4,NA
1cbd1,Laptop_green_50.jpg,S2,LG,50,NA,NA,NA,NA,NA,NA,NA,NA
1d2bc,Laptop_blue_50.jpg,S2,LB,50,15,NA,NA,NA,NA,NA,NA,NA
1d2bc,Laptop_blue_50.jpg,S2,LB,50,NA,2,2,17,NA,NA,NA,2
1d2bc,Laptop_blue_50.jpg,S2,LB,50,NA,NA,NA,NA,H7,2,7,NA
1d2bc,Laptop_blue_50.jpg,S2,LB,50,NA,NA,NA,NA,NA,NA,NA,NA
