ID,duration,S,A,Sat,left_pic,right_pic,response
0121e,7003.48,S1,A3,75,cube_75.png,cube_100.png,2
01d7f,8123.702,S1,A2,75,cube_75.png,cube_100.png,0
02871,5742.21100004768,S1,A3,75,cube_75.png,cube_100.png,2
04650,5917.26,S1,A3,75,cube_75.png,cube_100.png,2
04b1b,3942.88600007152,S1,A3,50,cube_50.png,cube_100.png,0
055eb,3580.44899990463,S1,A3,75,cube_75.png,cube_100.png,1
070d7,2770.50700019074,S1,A2,50,cube_50.png,cube_100.png,1
08169,3834.80999999882,S1,A2,50,cube_50.png,cube_100.png,1
082ef,9242.00499997616,S1,A2,50,cube_50.png,cube_100.png,0
0b80b,6727.124,S1,A3,75,cube_75.png,cube_100.png,2
0c71d,3116.04300000596,S1,A2,25,cube_25.png,cube_100.png,1
0d7c0,7033.724,S1,A3,75,cube_75.png,cube_100.png,2
10c8f,5101.03300002384,S1,A3,25,cube_25.png,cube_100.png,2
11755,7300.511,S1,A2,75,cube_75.png,cube_100.png,0
127e8,5673.80000007153,S1,A2,50,cube_50.png,cube_100.png,0
12edd,5087.29000000019,S1,A2,25,cube_25.png,cube_100.png,1
130b3,5679.22000000037,S1,A3,75,cube_75.png,cube_100.png,2
13544,24558.011999994,S1,A2,50,cube_50.png,cube_100.png,1
13552,7635.9,S1,A2,75,cube_75.png,cube_100.png,1
13cb9,9241.01200019073,S1,A2,25,cube_25.png,cube_100.png,0
15c8d,4471.92699999991,S1,A2,50,cube_50.png,cube_100.png,1
18f02,3760.93700000149,S1,A2,75,cube_75.png,cube_100.png,1
19698,4687.10299999991,S1,A3,75,cube_75.png,cube_100.png,0
1a1c6,8990.78299990463,S1,A2,25,cube_25.png,cube_100.png,0
1a49d,4734.772,S1,A3,25,cube_25.png,cube_100.png,2
1a7f2,6902.741,S1,A2,50,cube_50.png,cube_100.png,0
1b1ac,6122.22899995232,S1,A2,25,cube_25.png,cube_100.png,0
1bf74,5239.55899999702,S1,A2,50,cube_50.png,cube_100.png,1
1c1f9,6706.40399998808,S1,A3,75,cube_75.png,cube_100.png,0
1c39b,4239.19000002384,S1,A2,25,cube_25.png,cube_100.png,1
1cbd1,5294.73199999404,S1,A2,25,cube_25.png,cube_100.png,1
1d2bc,6835.898,S1,A2,75,cube_75.png,cube_100.png,0
1e7a8,7480.28,S1,A2,25,cube_25.png,cube_100.png,1
1fa63,4198.68,S1,A2,75,cube_75.png,cube_100.png,1
21565,7257.16899997616,S1,A2,25,cube_25.png,cube_100.png,1
