ID,S,Color,Sat,pic_suitcase,goal_pursuit,prize,suitcase_selection_1,suitcase_selection_2,suitcase_selection_3,suitcase_selection_4,suitcase_selection_5,attention_suitcase_1,attention_suitcase_2,evaluation,suitcase_attention_mean
0121e,S3,GS,25,suitcase_25.jpg,small_goal,NA,7,7,7,7,7,NA,NA,7,NA
0121e,S3,GS,25,suitcase_25.jpg,small_goal,85,NA,NA,NA,NA,NA,6,6,NA,6
0121e,S3,GS,25,suitcase_25.jpg,small_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01d7f,S3,GB,75,suitcase_75.jpg,big_goal,NA,5,6,6,6,4,NA,NA,5.4,NA
01d7f,S3,GB,75,suitcase_75.jpg,big_goal,10,NA,NA,NA,NA,NA,4,4,NA,4
01d7f,S3,GB,75,suitcase_75.jpg,big_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02871,S3,GB,100,suitcase_100.jpg,big_goal,NA,5,6,5,6,5,NA,NA,5.4,NA
02871,S3,GB,100,suitcase_100.jpg,big_goal,50,NA,NA,NA,NA,NA,5,4,NA,4.5
02871,S3,GB,100,suitcase_100.jpg,big_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04650,S3,GS,50,suitcase_50.jpg,small_goal,NA,3,3,3,3,3,NA,NA,3,NA
04650,S3,GS,50,suitcase_50.jpg,small_goal,45,NA,NA,NA,NA,NA,1,1,NA,1
04650,S3,GS,50,suitcase_50.jpg,small_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04b1b,S3,GB,100,suitcase_100.jpg,big_goal,NA,5,5,4,5,4,NA,NA,4.6,NA
04b1b,S3,GB,100,suitcase_100.jpg,big_goal,80,NA,NA,NA,NA,NA,4,5,NA,4.5
04b1b,S3,GB,100,suitcase_100.jpg,big_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
055eb,S3,GB,75,suitcase_75.jpg,big_goal,NA,4,3,4,3,2,NA,NA,3.2,NA
055eb,S3,GB,75,suitcase_75.jpg,big_goal,40,NA,NA,NA,NA,NA,7,7,NA,7
055eb,S3,GB,75,suitcase_75.jpg,big_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
070d7,S3,GB,50,suitcase_50.jpg,big_goal,NA,7,7,7,7,7,NA,NA,7,NA
070d7,S3,GB,50,suitcase_50.jpg,big_goal,80,NA,NA,NA,NA,NA,7,7,NA,7
070d7,S3,GB,50,suitcase_50.jpg,big_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08169,S3,GB,25,suitcase_25.jpg,big_goal,NA,5,5,5,5,5,NA,NA,5,NA
08169,S3,GB,25,suitcase_25.jpg,big_goal,65,NA,NA,NA,NA,NA,5,5,NA,5
08169,S3,GB,25,suitcase_25.jpg,big_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
082ef,S3,GS,75,suitcase_75.jpg,small_goal,NA,3,2,3,3,2,NA,NA,2.6,NA
082ef,S3,GS,75,suitcase_75.jpg,small_goal,60,NA,NA,NA,NA,NA,7,7,NA,7
082ef,S3,GS,75,suitcase_75.jpg,small_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0b80b,S3,GS,75,suitcase_75.jpg,small_goal,NA,6,7,5,6,5,NA,NA,5.8,NA
0b80b,S3,GS,75,suitcase_75.jpg,small_goal,75,NA,NA,NA,NA,NA,7,6,NA,6.5
0b80b,S3,GS,75,suitcase_75.jpg,small_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0c71d,S3,GB,25,suitcase_25.jpg,big_goal,NA,6,6,6,5,6,NA,NA,5.8,NA
0c71d,S3,GB,25,suitcase_25.jpg,big_goal,50,NA,NA,NA,NA,NA,4,5,NA,4.5
0c71d,S3,GB,25,suitcase_25.jpg,big_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0d7c0,S3,GS,50,suitcase_50.jpg,small_goal,NA,5,6,6,7,5,NA,NA,5.8,NA
0d7c0,S3,GS,50,suitcase_50.jpg,small_goal,70,NA,NA,NA,NA,NA,6,5,NA,5.5
0d7c0,S3,GS,50,suitcase_50.jpg,small_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10c8f,S3,GS,50,suitcase_50.jpg,small_goal,NA,3,3,4,3,3,NA,NA,3.2,NA
10c8f,S3,GS,50,suitcase_50.jpg,small_goal,45,NA,NA,NA,NA,NA,6,6,NA,6
10c8f,S3,GS,50,suitcase_50.jpg,small_goal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11755,S3,GS,25,suitcase_25.jpg,small_goal,NA,6,6,7,6,5,NA,NA,6,NA
