Experiment,Task_ID,Default_condition,Framing,Answer_Option,choice,ID
E2,F6,DP,FP,Y,1,eV0XOhRFAI
E2,F6,DP,FP,N,0,eV0XOhRFAI
E2,F1,DP,FN,Y,0,SNyUWVFm6k
E2,F1,DP,FN,N,1,SNyUWVFm6k
E2,F4,DNP,FP,Y,0,c0ykaOsiRR
E2,F4,DNP,FP,N,1,c0ykaOsiRR
E2,F3,DNP,FN,Y,0,xp0ougrepv
E2,F3,DNP,FN,N,0,xp0ougrepv
E2,F2,ND,FN,Y,0,niIDchG8v7
E2,F2,ND,FN,N,1,niIDchG8v7
E2,F6,DP,FP,Y,1,SNyuF4MXhB
E2,F6,DP,FP,N,0,SNyuF4MXhB
E2,F4,DNP,FP,Y,0,bKfUZX2og9
E2,F4,DNP,FP,N,1,bKfUZX2og9
E2,F4,DNP,FP,Y,0,VT4Axa8TiR
E2,F4,DNP,FP,N,1,VT4Axa8TiR
E2,F4,DNP,FP,Y,0,5anvYYSObw
E2,F4,DNP,FP,N,1,5anvYYSObw
E2,F2,ND,FN,Y,1,Y8Vm4TlFyd
E2,F2,ND,FN,N,0,Y8Vm4TlFyd
E2,F4,DNP,FP,Y,0,qUppDeZede
E2,F4,DNP,FP,N,1,qUppDeZede
E2,F2,ND,FN,Y,1,UUkITgqa0y
E2,F2,ND,FN,N,0,UUkITgqa0y
E2,F3,DNP,FN,Y,0,ag2Sc0yAmp
E2,F3,DNP,FN,N,0,ag2Sc0yAmp
E2,F4,DNP,FP,Y,0,XlLtSabcfG
E2,F4,DNP,FP,N,1,XlLtSabcfG
E2,F5,ND,FP,Y,0,dzHqUt5PHh
E2,F5,ND,FP,N,1,dzHqUt5PHh
E2,F5,ND,FP,Y,0,pPVJUel6ko
E2,F5,ND,FP,N,1,pPVJUel6ko
E2,F6,DP,FP,Y,0,YmkB1ak36m
E2,F6,DP,FP,N,1,YmkB1ak36m
E2,F5,ND,FP,Y,0,Aty6SrCCG2
E2,F5,ND,FP,N,1,Aty6SrCCG2
E2,F3,DNP,FN,Y,0,3h7Oc6lN2X
E2,F3,DNP,FN,N,1,3h7Oc6lN2X
E2,F1,DP,FN,Y,1,NA
E2,F1,DP,FN,N,0,NA
E2,F6,DP,FP,Y,1,sRZArH5l39
E2,F6,DP,FP,N,0,sRZArH5l39
