Status,Progress,Duration,Finished,RecordedDate,ExternalReference,DistributionChannel,UserLanguage,Text_1_P_T1,2_P_T2,3_P_T3,4_P_T4,5_P_T5,6_P_T6,7_P_T7,8_P_T8,9_P_T9,10_P_T10,11_P_T11,12_P_T12,13_P_T13,14_P_T14,15_P_T15,Choice_T_Battery,Choice_T_Pen,A_G_1,BJW_1,BJW_2,BJW_3,BJW_4,BJW_5,BJW_6,SDO_S_1,SDO_S_2,SDO_S_3,SDO_S_4,SDO_S_5,SDO_S_6,SDO_S_7,SDO_S_8,SDO_S_9,SDO_S_10,SDO_S_11,SDO_S_12,SDO_S_13,SDO_S_14,SDO_S_15,SDO_S_16,PP_1_0_GROUP_1,PP_1_0_GROUP_2,PP_1_0_GROUP_3,PP_1_0_GROUP_4,PP_1_0_GROUP_5,PP_1_1_GROUP_1,PP_1_1_GROUP_2,PP_1_1_GROUP_3,PP_1_1_GROUP_4,PP_1_1_GROUP_5,PP_1_2_GROUP_1,PP_1_2_GROUP_2,PP_1_2_GROUP_3,PP_1_2_GROUP_4,PP_1_2_GROUP_5,PP_1_0_1_RANK,PP_1_0_2_RANK,PP_1_0_3_RANK,PP_1_0_4_RANK,PP_1_0_5_RANK,PP_1_1_1_RANK,PP_1_1_2_RANK,PP_1_1_3_RANK,PP_1_1_4_RANK,PP_1_1_5_RANK,PP_1_2_1_RANK,PP_1_2_2_RANK,PP_1_2_3_RANK,PP_1_2_4_RANK,PP_1_2_5_RANK,Choice_T_Vocabulary,A_V_1,SJ_S_P_1,SJ_S_P_2,SJ_S_P_3,SJ_S_P_4,SJ_S_P_5,SJ_S_P_6,SJ_S_P_7,SJ_S_P_8,Feedback,1_C_T1,2_C_T2,3_C_T3,4_C_T4,5_C_T5,6_C_T6,7_C_T7,8_C_T8,9_C_T9,10_C_T10,11_C_T11,12_C_T12,13_C_T13,14_C_T14,15_C_T15,PC_1_0_GROUP_1,PC_1_0_GROUP_2,PC_1_0_GROUP_3,PC_1_0_GROUP_4,PC_1_0_GROUP_5,PC_1_0_GROUP_6,PC_1_0_GROUP_7,PC_1_0_GROUP_8,PC_1_1_GROUP_1,PC_1_1_GROUP_2,PC_1_1_GROUP_3,PC_1_1_GROUP_4,PC_1_1_GROUP_5,PC_1_1_GROUP_6,PC_1_1_GROUP_7,PC_1_1_GROUP_8,PC_1_2_GROUP_1,PC_1_2_GROUP_2,PC_1_2_GROUP_3,PC_1_2_GROUP_4,PC_1_2_GROUP_5,PC_1_2_GROUP_6,PC_1_2_GROUP_7,PC_1_2_GROUP_8,PC_1_0_1_RANK,PC_1_0_2_RANK,PC_1_0_3_RANK,PC_1_0_4_RANK,PC_1_0_5_RANK,PC_1_0_6_RANK,PC_1_0_7_RANK,PC_1_0_8_RANK,PC_1_1_1_RANK,PC_1_1_2_RANK,PC_1_1_3_RANK,PC_1_1_4_RANK,PC_1_1_5_RANK,PC_1_1_6_RANK,PC_1_1_7_RANK,PC_1_1_8_RANK,PC_1_2_1_RANK,PC_1_2_2_RANK,PC_1_2_3_RANK,PC_1_2_4_RANK,PC_1_2_5_RANK,PC_1_2_6_RANK,PC_1_2_7_RANK,PC_1_2_8_RANK,SJ_S_C_2,SJ_S_C_3,SJ_S_C_4,SJ_S_C_5,SJ_S_C_6,SJ_S_C_7,SJ_S_C_8,SJ_S_C_9,Condition,Order
0,100,1284,1,2024-05-03T08:25:32Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,5,3,2,3,3,2,2,2,1,3,3,6,5,6,2,6,6,7,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,VIEL ZU LANGE!,Ich gehe am zweiten Dienstag des Monats immer ins Tanzen.,Sein Wissen stieg mit der Anzahl besuchter Kurse.,Kontinuität ist der Schlüssel zu einem langfristigen Erfolg.,Auf dem Weg nach Hause verlor ich meine Kopfhörer.,"Damit ich von meinem Freund einen Apfel bekomme, gebe ich ihm Schokolade.","Morgen stehe ich auf, um den Alltag zu bestreiten.",Beim Einkaufen wähle ich Produkte nach der Intuition.,Mit genug Willenskraft kannst du viele Träume verwirklichen.,Reiseunternehmen beschäftigen sich mit Ländern auf der ganzen Welt.,Angst im Alltag und Ferienmangel kann zu Stress führen.,Nach jahrelanger Abklärung erhielt sie endlich eine Bewilligung.,"Ich muss mein ungesundes, kalorienreiches Essverhalten neu überdenken.","Fleiss und aktives Engagement ermöglichen es mir, meine Träume zu erfüllen.",Die Teilnehmer wurden gebeten über ihre täglichen Routinen nachzudenken.,Das Kind kaut vor der Schule kleine Kaugummis.,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2,1,NA,NA,1,NA,3,2,NA,NA,NA,4,6,1,6,5,2,3,5,Control,Block1
0,100,999,1,2024-05-03T08:44:15Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,6,5,5,5,2,2,7,7,7,7,2,1,7,1,7,7,7,7,7,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ich gehe immer am zweiten Dienstag des Monats ins Tanzen.,Sein Wissen stieg mit der Anzahl besuchter Kurse.,Kontinuität ist der Schlüssel zu einem langfristigen Erfolg.,Auf dem Weg nach Hause verlor ich meine Kopfhörer.,"Damit ich von meinem Freund einen Apfel bekomme, gebe ich ihm Schokolade.","Ich stehe am Morgen auf, um den Alltag zu bestreiten.",Beim Einkaufen wähle ich Produkte der Intuition nach.,Mit genug Willenskraft kannst du viele Träume verwirklichen.,Reiseunternehmen beschäftigen sich mit Ländern auf der ganzen Welt.,Ferienmangel kann zu Angst und Stress im Alltag führen.,Nach jahrelanger Abklärung erhielt sie endlich eine Bewilligung.,"Ich muss mein ungesundes, kalorienreiches Essverhalten neu überdenken.","Fleiss und aktives Engagement ermöglichen mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, über ihre täglichen Routinen nachzudenken.",Das Kind kaut kleine Kaugummis vor der Schule.,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,6,6,2,4,1,6,6,6,Control,Block2
0,100,1368,1,2024-05-03T08:48:25Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,4,4,2,2,1,2,2,1,1,6,7,1,6,4,1,6,6,6,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Es fehlt die neutrale Antwortmöglichkeit.

Zu lang 
",Ich gehe am zweiten Dienstag des Monats immer Tanzen.,Sein Wissen stieg mit besuchter Anzahl Kurse.,Kontinuität ist der Schlüssel zu einem Erfolg.,Auf dem Weg nach Hause verlor ich meine Kopfhörer,"Damit ich einen Apfel von meinem Freund bekomme, gebe ich ich ihm Schokolade.","Ich stehe am Morgen auf, um den Alltag zu bestreiten.",Beim Einkaufen wähle ich Produkte nach der Intuition.,Mit genug Willenskraft kannst du viele Träume verwirklichen.,Reiseunternehmen beschäftigen sich mit Ländern auf der ganzen Welt.,Ferienmangel kann zu Stress und Angst um Alltag führen.,Nach jahrlanger Abklärung erhielt sie endlich eine Bewilligung.,"Ich muss mein ungesundes, kalorienreiches Essverhalten neu überdenken.","Fleiss und aktives Engagement ermöglichen mir, meine Träume zu erfüllen.",Die Teilnehmer wurden gebeten über ihre Routine nachzudenken.,Das Kind kaut kleine Kaugummis vor der Schule.,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,1,5,5,5,2,3,Control,Block2
0,100,2396,1,2024-05-03T12:08:17Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,3,3,3,3,1,2,3,1,7,6,7,7,1,1,2,2,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ich gehe immer am zweiten Dienstag des Monats ins Tanzen.,Sein Wissen stieg mit der Anzahl besuchter Kurse.,Der Schlüssel zu einem langfristigem Erfolg ist Kontinuität.,Auf dem Weg nach Hause verlor ich meine Kopfhörer.,"Damit ich von meinem Freund Schokolade bekomme, gebe ich ihm einen Apfel.","Ich stehe am Morgen auf, um den Alltag zu bestreiten.",Beim Einkaufen wähle ich Produkte nach der Intuition.,Mit genug Willenskraft kannst du viele Träume verwirklichen.,Reiseunternehmen beschäftigen sich mit Ländern auf der Welt.,Ferienmangel kann zu Angst und Stress im Alltag führen.,Nach jahrelanger Abklärung erhielt sie endlich eine Bewilligung.,"Ich muss mein ungesundes, kalorienreiches Essverhalten neu überdenken.","Engagement und Fleiss ermöglichen es mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, über ihre täglichen Routinen nachzudenken.",Das kleine Kind kaut Kaugummis vor der Schule.,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,3,1,NA,NA,3,NA,1,2,NA,NA,NA,3,5,3,3,3,2,3,2,Control,Block2
0,100,1694,1,2024-05-03T12:40:50Z,NA,anonymous,DE,Ich bezahle immer am zweiten Dienstag des Monats meine Rechnungen,Durch kluge Investitionen in Aktien wuchs sein Vermögen,Sparen ist der langfristige Schlüssel zur finanziellen Stabilität,Auf dem Weg nach Hause verlor ich meine Brieftasche,Ich gebe einem Freund Schokolade damit ich Geld von ihm bekomme,Ich stehe am Morgen auf um Geld zu verdienen,Beim Einkaufen achte ich auf den Preis,Mit genug Geld kannst du viele Träume verwirklichen,Der Finanzmarkt beschäftigt sich mit Geldflüssen auf der ganzen Welt,Geldnöte können zu Stress und Angst im Alltag führen,Nach jahrelanger Arbeit erhielt sie endlich eine Gehaltserhöhung,"Ich muss mein monatliches, knappes Budget neu überdenken",Meine Träume mir zu erfüllen und ermöglichen macht Geld,"Die Teilnehmer wurden gebeten, über ihre aktuellen Geldausgaben nachzudenken",Das Kind kauft vor der Schule Kaugummis,2,1,2,5,5,5,1,4,4,6,3,1,2,7,7,7,7,2,5,2,3,7,6,7,6,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,2,NA,NA,1,NA,1,3,6,7,1,5,2,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Priming,Block1
0,100,1805,1,2024-05-03T14:02:22Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,1,3,1,1,1,4,3,4,1,5,7,7,4,5,1,7,7,7,5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ich gehe immer am zweiten Dienstag des Monats ins Tanzen.,Sein Wissen stieg mit der Anzahl besuchter Kurse.,Kontinuität ist der Schlüssel zu langfristigem Erfolg.,Auf dem Weg mach Hause verlor ich meine Kopfhörer.,"Damit ich Schokolade von meinem Freund bekomme, gebe ich ihm einen Apfel.","Ich stehe am Morgen auf, um den Alltag zu bestreiten.",Beim Einkaufen wähle ich Produkte nach meiner Intuition.,Mit genug Willenskraft kannst du viele Träume verwirklichen.,Reiseunternehmen beschäftigen sich mit Ländern auf der ganzen Welt.,Ferienmangel kann zu Angst und Stress im Alltag führen.,Nach jahrelanger Abklärung erhielt sie endlich eine Bewilligung,"Ich muss mein ungesundes, kalorienreiches Essverhalten neu überdenken.","Fleiss und aktives Engagement ermöglichen mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, über ihre täglichen Routinen nachzudenken.",Das kleine Kind kaut Kaugummis vor der Schule.,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,NA,NA,NA,NA,2,1,NA,NA,1,NA,3,2,NA,NA,NA,2,5,1,3,1,1,7,1,Control,Block1
0,100,2504,1,2024-05-03T15:59:43Z,NA,anonymous,DE,Ich bezahle meine Rechnungen immer am zweiten Dienstag des Monats.,Sein Vermögen wuchs durch kluge Investitionen in Aktien.,Sparen ist der Schlüssel zur langfristigen finanziellen Stabilität.,Auf dem nach Hause Weg verlor ich meine Brieftasche.,"Damit ich Geld von einem Freund bekomme, gebe ich ihm Schokolade.","Ich stehe am Morgen auf, um Geld zu verdienen.",Beim Einkaufen achte ich auf den Preis.,Mit Geld kannst du genug viele Träume verwirklichen.,Der Finanzmarkt beschäftigt sich mit Geldflüssen auf der ganzen Welt.,Angst und Stress können zu Geldnöte im Alltag führen.,Nach jahrelanger Arbeit erhielt sie endlich eine Gehaltserhöhung.,"Ich muss mein monatliches, knappes Budget neu überdenken.","Geld und Macht ermöglichen es mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, über ihre aktuellen Geldausgaben nachzudenken.",Das Kind kauft kleine Kaugummis vor der Schule.,2,1,2,3,5,5,3,5,5,6,2,2,6,6,6,6,2,3,1,1,5,7,6,2,6,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,1,2,3,5,6,2,6,2,6,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Priming,Block2
0,100,1313,1,2024-05-03T18:31:56Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,5,1,1,2,2,2,5,4,1,7,2,7,4,7,1,7,7,7,5,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Am zweiten Dienstag des Monats gehe ich immer ins Tanzen,Sein Wissen stieg mit der Anzahl besuchter Kurse,Kontinuität ist der Schlüssel zu einem langfristigem Erfolg,Auf dem Weg nach Hause verlor ich meine Kopfhörer,"Ich gebe meinem Freund einen Apfel, damit ich von ihm Schokolade bekomme","Um den Alltag zu bestreiten, stehe ich am Morgen auf",Beim Einkaufen wähle ich Produkte nach der Intuition,Mit genug Willenskraft kannst du viele Träume verwirklichen,Reiseunternehmen beschäftigen sich mit Ländern auf der ganzen Welt,Stress und Ferienmangel kann zu Angst im Alltag führen,Nach jahrelanger Abklärung erhielt sie endlich eine Bewilligung,"Ich muss neu mein ungesundes, kalorienreiches Essverhalten überdenken",Fleiss und aktives Engagement ermöglichen mir meine Träume zu erfüllen,Die Teilnehmer wurden gebeten über ihre täglichen Routinen nachzudenken,Das kleine Kind vor der Schule kaut Kaugummis,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,2,NA,NA,NA,5,6,2,6,5,7,5,6,Control,Block2
0,100,960,1,2024-05-03T20:46:41Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5,5,4,6,5,5,3,1,2,1,7,6,7,5,4,1,1,1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ich gehe am zweiten Dienstag des Monats immer Tanzen.,Sein Wissen stief mit der Anzahl besuchter Kurse.,Kontinuitär ist der Schlüssel zu einem langfristigen Erfolg.,Auf dem Weg nach Hause verlor ich meine Kopfhörer.,"Damit ich von ihm Schokolade bekomme, gebe ich meinem Freund einen Apfel.","Ich stehe am Morten auf, um den Alltag zu bestreiten.",Beim Einkaufen wähle ich Produkte nach der Inuition.,Mit genug Willenskraft kannst du viele Träume verwirklichen,Reiseunternehmen beschäftigen sich mit Ländern auf der ganzen Welt.,Ferienmangel kann im Alltag zu Stress und Angst führen.,Nach jahrelanger Abklärung erhielt sie eine Bewilligung.,"Ich muss mein ungesundes, kalorienreiches Essverhalten neu überdenken","Fleiss und aktiver Engagement ermöglichen mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, über ihre täglichen Routinen nachzudenken",Das kleine Kind kaut vor der Schule Kaugummis.,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,2,2,1,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,3,1,NA,5,6,1,4,5,5,3,1,Control,Block1
0,100,2112,1,2024-05-04T08:46:40Z,NA,anonymous,DE,Ich bezahle meine Rechnungen immer am zweiten Dienstag des Monats.,Sein Vermögen wuchs durch kluge Investitionen in Aktien.,Sparen ist der Schlüssel zur langfristigen Stabilität.,Auf dem Weg nach Hause verlor ich meine Brieftasche.,"Damit ich von einem Freund Geld bekomme, gebe ich ihm Schokolade.","Ich stehe am Morgen auf, um Geld zu verdienen.",Beim Einkaufen achte ich auf den Preis.,Mit genug Geld kannst du viele Träume verwirklichen.,Der ganze Finanzmarkt beschäftigt sich mit Geldflüssen auf der ganzen Welt.,Geldnöte können zu Angst und Stress im Alltag führen.,Nach jahrelanger Arbeit erhielt sie endlich eine Gehaltserhöhung.,"Ich muss mein knappes buget monatlich, neu überdenken.","Geld und Macht ermöglichen mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, über ihre aktuellen Geldausgaben nachzudenken.",Das Kind kauft vor der Schule kleine Kaugummis.,2,1,2,4,4,3,2,3,3,1,2,2,2,4,5,6,4,3,5,5,4,6,5,5,4,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,1,NA,2,NA,NA,NA,1,2,3,4,5,2,5,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Priming,Block1
