ID,condition,scale,set,item,response,value
2VCDEXqNra,DZ,mancheck,NA,MC_0_1,NA,NA
2VCDEXqNra,DZ,mancheck,NA,MC_0_2,NA,NA
2VCDEXqNra,DZ,mancheck,NA,MC_1,NA,NA
2VCDEXqNra,DZ,memory,FB2,FB2_1,3 Meter,1
2VCDEXqNra,DZ,memory,FB2,FB2_2,Blütenblätter und Pollen,1
2VCDEXqNra,DZ,memory,FB2,FB2_3,Dick und rau,1
2VCDEXqNra,DZ,memory,FB2,FB2_4,Blau,1
2VCDEXqNra,DZ,memory,FB2,FB2_5,Gelbes Horn,1
2VCDEXqNra,DZ,memory,FB2,FB2_6,In Gruppen,1
2VCDEXqNra,DZ,memory,FB2,FB2_7,Nahrung sammeln,1
2VCDEXqNra,DZ,mindset,NA,GMS_1,Stimme grösstenteils zu,4
2VCDEXqNra,DZ,mindset,NA,GMS_2,Stimme überhaupt nicht zu,1
2VCDEXqNra,DZ,mindset,NA,GMS_3,Stimme nicht zu,2
2VCDEXqNra,DZ,nfc,NA,NfC_1,sehr zutreffend,5
2VCDEXqNra,DZ,nfc,NA,NfC_10,sehr zutreffend,5
2VCDEXqNra,DZ,nfc,NA,NfC_11,sehr zutreffend,5
2VCDEXqNra,DZ,nfc,NA,NfC_12,überhaupt nicht zutreffend,5
2VCDEXqNra,DZ,nfc,NA,NfC_13,sehr zutreffend,5
2VCDEXqNra,DZ,nfc,NA,NfC_14,eher zutreffend,4
2VCDEXqNra,DZ,nfc,NA,NfC_15,sehr zutreffend,5
2VCDEXqNra,DZ,nfc,NA,NfC_16,weder noch,3
2VCDEXqNra,DZ,nfc,NA,NfC_17,eher zutreffend,4
2VCDEXqNra,DZ,nfc,NA,NfC_2,sehr zutreffend,5
2VCDEXqNra,DZ,nfc,NA,NfC_3,überhaupt nicht zutreffend,5
2VCDEXqNra,DZ,nfc,NA,NfC_4,überhaupt nicht zutreffend,5
2VCDEXqNra,DZ,nfc,NA,NfC_5,eher zutreffend,2
2VCDEXqNra,DZ,nfc,NA,NfC_6,eher zutreffend,4
2VCDEXqNra,DZ,nfc,NA,NfC_7,eher nicht zutreffend,4
2VCDEXqNra,DZ,nfc,NA,NfC_8,überhaupt nicht zutreffend,5
