V1,V2,combi1,combi2,QuestionId
1,2,Bild1,Bild2,1
1,3,Bild1,Bild3,2
1,4,Bild1,Bild4,3
1,5,Bild1,Bild5,4
1,6,Bild1,Bild6,5
1,7,Bild1,Bild7,6
1,8,Bild1,Bild8,7
1,9,Bild1,Bild9,8
1,10,Bild1,Bild10,9
2,3,Bild2,Bild3,10
2,4,Bild2,Bild4,11
2,5,Bild2,Bild5,12
2,6,Bild2,Bild6,13
2,7,Bild2,Bild7,14
2,8,Bild2,Bild8,15
2,9,Bild2,Bild9,16
2,10,Bild2,Bild10,17
3,4,Bild3,Bild4,18
3,5,Bild3,Bild5,19
3,6,Bild3,Bild6,20
3,7,Bild3,Bild7,21
3,8,Bild3,Bild8,22
3,9,Bild3,Bild9,23
3,10,Bild3,Bild10,24
4,5,Bild4,Bild5,25
4,6,Bild4,Bild6,26
4,7,Bild4,Bild7,27
4,8,Bild4,Bild8,28
4,9,Bild4,Bild9,29
4,10,Bild4,Bild10,30
5,6,Bild5,Bild6,31
5,7,Bild5,Bild7,32
5,8,Bild5,Bild8,33
5,9,Bild5,Bild9,34
5,10,Bild5,Bild10,35
6,7,Bild6,Bild7,36
6,8,Bild6,Bild8,37
6,9,Bild6,Bild9,38
6,10,Bild6,Bild10,39
7,8,Bild7,Bild8,40
7,9,Bild7,Bild9,41
7,10,Bild7,Bild10,42
8,9,Bild8,Bild9,43
8,10,Bild8,Bild10,44
9,10,Bild9,Bild10,45
