RecordedDate,Experiment,Frage,Rep_Zu,Sicherheit,value,response,ID
2022-11-02T17:29:41Z,E1,F1,R,S,Option 2: 500 CHF,Geld,rywW6CqAFI
2022-11-02T17:29:41Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,rywW6CqAFI
2022-11-02T17:29:41Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,rywW6CqAFI
2022-11-02T17:29:41Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,rywW6CqAFI
2022-11-02T17:36:34Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,BamNxhKn9H
2022-11-02T17:36:34Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,BamNxhKn9H
2022-11-02T17:37:34Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,zEZoFHPqmB
2022-11-02T17:37:34Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,zEZoFHPqmB
2022-11-02T17:48:35Z,E1,F1,R,S,Option 1 : Ein Meet and Greet mit Ihrem Idol,Option1,8B1Ypp2w8L
2022-11-02T17:48:35Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,8B1Ypp2w8L
2022-11-02T17:48:35Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,8B1Ypp2w8L
2022-11-02T17:48:35Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,8B1Ypp2w8L
2022-11-02T17:50:32Z,E1,F1,R,S,Option 1 : Ein Meet and Greet mit Ihrem Idol,Option1,9WBeE99ZgG
2022-11-02T17:50:32Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,9WBeE99ZgG
2022-11-02T17:50:32Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,9WBeE99ZgG
2022-11-02T17:50:32Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,9WBeE99ZgG
2022-11-02T17:51:35Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,HdU5zA6oCK
2022-11-02T17:51:35Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,HdU5zA6oCK
2022-11-02T17:51:48Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,WMj3Yte6cT
2022-11-02T17:51:48Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,WMj3Yte6cT
2022-11-02T18:04:50Z,E1,F1,R,S,Option 2: 500 CHF,Geld,KwGP9sdMrB
2022-11-02T18:04:50Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,KwGP9sdMrB
2022-11-02T18:04:50Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,KwGP9sdMrB
2022-11-02T18:04:50Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,KwGP9sdMrB
2022-11-02T18:08:45Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,muh7GJ3NEv
2022-11-02T18:08:45Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,muh7GJ3NEv
2022-11-02T18:18:41Z,E1,F1,R,S,Option 2: 500 CHF,Geld,xcWSYRWudT
2022-11-02T18:18:41Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,xcWSYRWudT
