id,task,target,number_id,condition,test,set,label,range_min,range_max,Unique_ID
1,Arztpraxen,25439,1,Precise,Question,2,25439,22895.1,27982.9,1 1 Precise
1,Arztpraxen,25000,1,Round,Question,2,25439,22895.1,27982.9,1 1 Round
1,Arztpraxen,19004,2,Precise,Question,2,19004,17103.6,20904.4,1 2 Precise
1,Arztpraxen,19000,2,Round,Question,2,19004,17103.6,20904.4,1 2 Round
1,Arztpraxen,76,1,Round,Test,2,74.7,67.23,82.17,1 1 Round
1,Arztpraxen,74.7,1,Precise,Test,2,74.7,67.23,82.17,1 1 Precise
2,Gotthardtunnel,16942,1,Precise,Question,2,16942,15247.8,18636.2,2 1 Precise
2,Gotthardtunnel,17000,1,Round,Question,2,16942,15247.8,18636.2,2 1 Round
2,Gotthardtunnel,2257,2,Precise,Question,2,2257,2031.3,2482.7,2 2 Precise
2,Gotthardtunnel,2300,2,Round,Question,2,2257,2031.3,2482.7,2 2 Round
2,Gotthardtunnel,13.5,1,Round,Test,2,13.3,11.97,14.63,2 1 Round
2,Gotthardtunnel,13.3,1,Precise,Test,2,13.3,11.97,14.63,2 1 Precise
3,Arbeitslosigkeit,89881,1,Precise,Question,1,89881,80892.9,98869.1,3 1 Precise
3,Arbeitslosigkeit,90000,1,Round,Question,1,89881,80892.9,98869.1,3 1 Round
3,Arbeitslosigkeit,2280,2,Precise,Question,1,2280,2052,2508,3 2 Precise
3,Arbeitslosigkeit,2500,2,Round,Question,1,2280,2052,2508,3 2 Round
3,Arbeitslosigkeit,2.8,1,Round,Test,1,2.5,2.25,2.75,3 1 Round
3,Arbeitslosigkeit,2.5,1,Precise,Test,1,2.5,2.25,2.75,3 1 Precise
4,Urteile,103156,1,Precise,Question,1,103156,92840.4,113471.6,4 1 Precise
4,Urteile,100000,1,Round,Question,1,103156,92840.4,113471.6,4 1 Round
4,Urteile,1945,2,Precise,Question,1,1945,1750.5,2139.5,4 2 Precise
4,Urteile,2000,2,Round,Question,1,1945,1750.5,2139.5,4 2 Round
4,Urteile,2,1,Round,Test,1,1.9,1.71,2.09,4 1 Round
4,Urteile,1.9,1,Precise,Test,1,1.9,1.71,2.09,4 1 Precise
5,Geographie,41285,1,Precise,Question,1,41285,37156.5,45413.5,5 1 Precise
5,Geographie,40000,1,Round,Question,1,41285,37156.5,45413.5,5 1 Round
5,Geographie,7105,2,Precise,Question,1,7105,6394.5,7815.5,5 2 Precise
5,Geographie,7000,2,Round,Question,1,7105,6394.5,7815.5,5 2 Round
5,Geographie,17.5,1,Round,Test,1,17.2,15.479999999999999,18.919999999999998,5 1 Round
5,Geographie,17.2,1,Precise,Test,1,17.2,15.479999999999999,18.919999999999998,5 1 Precise
6,Umsatzlöhne,16553,1,Precise,Question,2,16553,14897.7,18208.3,6 1 Precise
6,Umsatzlöhne,17000,1,Round,Question,2,16553,14897.7,18208.3,6 1 Round
6,Umsatzlöhne,3750,2,Precise,Question,2,3750,3375,4125,6 2 Precise
6,Umsatzlöhne,4000,2,Round,Question,2,3750,3375,4125,6 2 Round
6,Umsatzlöhne,23.5,1,Round,Test,2,22.7,20.43,24.97,6 1 Round
6,Umsatzlöhne,22.7,1,Precise,Test,2,22.7,20.43,24.97,6 1 Precise
