episode_date,show,mix_no,mix,t_s,bpm,key,artist,title,timeskew,frequencyskew,track_no
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",0,,47343176,Britney Spears,Gimme More (Shortee Blitz),0.0007060766,0.0,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",30,,10498370,Dexter Wansel,I'll Never Forget (My Favorite Disco),0.044370532,0.04193461,1
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",60,,10498370,Dexter Wansel,I'll Never Forget (My Favorite Disco),0.042823076,0.04243827,1
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",90,122.5,328105860,Byron the Aquarius,PHONE SEX (69),0.019796133,0.019191027,2
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",120,122.9,10498370,Dexter Wansel,I'll Never Forget (My Favorite Disco),0.045021296,0.04143119,1
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",150,,10498370,Dexter Wansel,I'll Never Forget (My Favorite Disco),0.044303775,0.04167092,1
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",180,,328105860,Byron the Aquarius,PHONE SEX (69),0.019416213,0.019355178,2
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",210,122.7,10498370,Dexter Wansel,I'll Never Forget (My Favorite Disco),0.039751172,0.041347265,1
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",240,,828652323,Axel Boman,Twinkle Twinkle,0.03216362,-0.00024163723,3
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",270,121.7,828652323,Axel Boman,Twinkle Twinkle,0.03188348,-0.000120818615,3
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",300,122.0,828652323,Axel Boman,Twinkle Twinkle,0.024121523,0.0,3
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",330,122.0,828652323,Axel Boman,Twinkle Twinkle,0.023942828,-0.00016111135,3
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",360,,828652323,Axel Boman,Twinkle Twinkle,0.024196267,-4.6014786e-05,3
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",390,122.2,828652323,Axel Boman,Twinkle Twinkle,0.024102569,0.0,3
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",420,122.0,828652323,Axel Boman,Twinkle Twinkle,0.022718906,0.00012087822,3
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",450,122.0,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",480,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",510,121.8,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",540,121.7,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",570,121.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",600,121.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",630,122.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",660,121.6,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",690,,696983729,Billie Eilish,THE DINER,-0.022262812,-0.00025773048,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",720,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",750,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",780,122.4,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",810,121.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",840,121.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",870,122.0,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",900,122.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",930,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",960,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",990,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1020,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1050,122.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1080,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1110,122.4,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1140,122.0,49767351,Crystal Waters,100% Pure Love,0.017056823,-0.003002584,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1170,122.0,510304213,Claptone & Mylo,Drop the Pressure,-0.015096843,-0.00048315525,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1200,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1230,121.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1260,122.4,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1290,122.3,412902267,Enzo Siragusa & Nima Gorji,Foreal (Seb Zito Remix),-0.03942597,-0.048099756,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1320,,20075036,Roland Clark & Urban Soul,What Do I Gotta Do (Eric Kupper Club Mix),-0.00043731928,-0.002895534,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1350,122.0,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1380,122.0,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1410,122.2,,,,,,
